"campaign_id","campaign_name","channel","start_date","end_date","budget","impressions","clicks","conversions","revenue","ctr","conversion_rate","cpc","roas","campaign_duration","cost_per_conversion","revenue_per_conversion","total_posts","total_social_likes","total_social_comments","total_social_shares","total_social_clicks","avg_engagement_rate","total_sessions","total_pageviews","avg_duration","bounce_rate","web_transactions","web_revenue","mobile_sessions","desktop_sessions","touchpoints","unique_users","ad_impressions","ad_clicks","site_visits","purchases","cart_abandons","journey_revenue"
"CMP001","Summer Sale Email Blast","Email",2024-10-01,2024-10-08,500,50000,2500,125,11248.75,5,5,0.2,22.5,7,4,89.99,0,0,NA,NA,NA,NA,2,9,4.04,0,0,0,2,0,3,2,0,0,0,0,0,0
"CMP002","Google Search - Running Shoes","Google Ads",2024-10-03,2024-10-10,3500,125000,5000,200,24900,4,4,0.7,7.11,7,17.5,124.5,0,0,NA,NA,NA,NA,6,21,3.94333333333333,0,0,0,5,1,3,2,2,1,0,0,0,0
"CMP003","Facebook Brand Awareness","Facebook",2024-10-06,2024-10-13,2000,180000,4500,90,8550,2.5,2,0.44,4.28,7,22.22,95,2,9310,401,245,7700,3.035,9,26,2.45666666666667,66.6666666666667,1,0,4,5,7,3,3,4,0,0,0,0
"CMP004","Instagram Influencer Collab","Instagram",2024-10-09,2024-10-16,1500,95000,3040,116,12615,3.2,3.82,0.49,8.41,7,12.93,108.75,2,16154,757,0,5490,9.215,6,19,2.955,66.6666666666667,0,0,5,1,4,2,2,1,0,1,0,88.47
"CMP005","Display Network Retargeting","Display",2024-10-11,2024-10-18,1200,220000,1100,16,1256,0.5,1.45,1.09,1.05,7,75,78.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,0,0,0
"CMP006","October Newsletter Email","Email",2024-10-14,2024-10-21,400,45000,2160,97,8924,4.8,4.49,0.19,22.31,7,4.12,92,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,6,3,4,0,1,0,96.06
"CMP007","YouTube Pre-roll Ads","YouTube",2024-10-17,2024-10-24,2800,150000,2700,68,7837,1.8,2.52,1.04,2.8,7,41.18,115.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,0,0,0,0
"CMP008","LinkedIn B2B Campaign","LinkedIn",2024-10-19,2024-10-26,1800,35000,1225,39,5655,3.5,3.18,1.47,3.14,7,46.15,145,1,456,78,123,1225,1.88,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0
"CMP009","Twitter Flash Sale","Twitter",2024-10-22,2024-10-29,800,88000,2464,69,5726.31,2.8,2.8,0.32,7.16,7,11.59,82.99,2,3834,156,412,4444,2.745,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,0,0,0,0
"CMP010","Google Shopping Feed","Google Ads",2024-10-25,2024-11-01,3200,110000,4620,222,26307,4.2,4.81,0.69,8.22,7,14.41,118.5,0,0,NA,NA,NA,NA,5,14,2.756,80,0,0,2,3,5,2,2,2,0,1,0,159.51
